dataSource,scientificName,trait,family,year,latitude,longitude,observedMetadataUrl,annotationMethod,occurrenceID,genus,recordedBy,coordinateUncertaintyInMeters,verbatimTrait,modelUri,annotationID,mappedTraits
herbarium-GBIF,Plantago hookeriana var. californica (Greene) Poe,flower present,Plantaginaceae,1940,34.7438,-119.985,https://www.gbif.org/occurrence/3406821617,machine,3406821617,Plantago,Harlan Lewis,1900,flowers,doi:10.5281/zenodo.17079402,1c041379-308f-52b2-82d7-09e23c0b9174,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago erecta E.Morris,flower present,Plantaginaceae,1934,34.146601,-117.773112,https://www.gbif.org/occurrence/3406821630,machine,3406821630,Plantago,Louis C. Wheeler,400,flowers,doi:10.5281/zenodo.17079402,caaaf1ab-d06b-5023-8f40-434feb207eb6,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago fastigiata E.Morris,flower present,Plantaginaceae,1987,35.4731,-116.1104,https://www.gbif.org/occurrence/3406821635,machine,3406821635,Plantago,Barry A. Prigge,100,flowers,doi:10.5281/zenodo.17079402,cdcd5f66-93f2-5d8c-9812-4ad46c9a1d08,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago hookeriana var. californica (Greene) Poe,flower present,Plantaginaceae,1938,33.673636,-117.526955,https://www.gbif.org/occurrence/3406821658,machine,3406821658,Plantago,W. Pequegnat,6000,flowers,doi:10.5281/zenodo.17079402,8628da9c-a07b-5602-a8f2-ab0d4e1abea1,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago erecta E.Morris,flower present,Plantaginaceae,1925,36.504308,-121.914081,https://www.gbif.org/occurrence/3406821680,machine,3406821680,Plantago,Carl Epling,3720,flowers,doi:10.5281/zenodo.17079402,c05b8c8f-d574-50c5-ae9d-4abdcb56d682,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago erecta E.Morris,flower present,Plantaginaceae,1926,32.7432,-116.959,https://www.gbif.org/occurrence/3406821702,machine,3406821702,Plantago,Ira L. Wiggins,805,flowers,doi:10.5281/zenodo.17079402,6b2908f0-6549-59da-8b4b-0d31a32f1244,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago bigelovii subsp. bigelovii,flower present,Plantaginaceae,1985,31.066667,-116.283333,https://www.gbif.org/occurrence/3406821987,machine,3406821987,Plantago,Robert F. Thorne; Dave Charlton,100,flowers,doi:10.5281/zenodo.17079402,1ddb3384-4e5e-553d-8576-ccb0f2d446bf,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago erecta E.Morris,flower present,Plantaginaceae,1926,32.64222,-116.77778,https://www.gbif.org/occurrence/3406822413,machine,3406822413,Plantago,Ira L. Wiggins,1000,flowers,doi:10.5281/zenodo.17079402,6150528f-e035-582b-8655-e36be1980e03,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago erecta E.Morris,flower present,Plantaginaceae,1942,37.7183,-122.4881,https://www.gbif.org/occurrence/3406822422,machine,3406822422,Plantago,Lewis S. Rose,1700,flowers,doi:10.5281/zenodo.17079402,e7d716a6-1530-5140-ad0b-0588ae285130,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago uliginosa F.W.Schmidt,flower present,Plantaginaceae,2021,58.03098,22.10769,https://www.gbif.org/occurrence/3412742495,machine,3412742495,Plantago,Toomas Kukk,15,flowers,doi:10.5281/zenodo.17079402,0a206cb8-7274-5310-beb2-28f045839c2f,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago ovata Forssk.,flower present,Plantaginaceae,1993,35.3618,-116.4666,https://www.gbif.org/occurrence/3413164732,machine,3413164732,Plantago,"Barry A. Prigge; Arthur C. Gibson, K. Niessen",1400,flowers,doi:10.5281/zenodo.17079402,ff11660a-4391-5bab-8126-7f79650eff80,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago hookeriana Fisch. & C.A.Mey.,flower present,Plantaginaceae,2019,30.489208,-97.178539,https://www.gbif.org/occurrence/3067083319,machine,3067083319,Plantago,Arthur C. Gibson,859,flowers,doi:10.5281/zenodo.17079402,26ec63ab-5a17-5642-abe5-65fcb0352469,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago insularis Eastw.,flower present,Plantaginaceae,1966,33.549222,-116.109583,https://www.gbif.org/occurrence/3079206174,machine,3079206174,Plantago,Robert A. Clark,8000,flowers,doi:10.5281/zenodo.17079402,5bf6e9b6-97c7-5ef7-b83f-75f163d54524,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago ovata Forssk.,flower present,Plantaginaceae,2006,34.943611,-113.625833,https://www.gbif.org/occurrence/3091199114,machine,3091199114,Plantago,M. Swan,,flowers,doi:10.5281/zenodo.17079402,7d537e3e-c204-58be-863c-44701828c11f,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago patagonica Jacq.,flower present,Plantaginaceae,2007,36.8398019,-107.9979274,https://www.gbif.org/occurrence/3091204473,machine,3091204473,Plantago,G. Rink,,flowers,doi:10.5281/zenodo.17079402,93ec61e3-8142-5689-a546-aede89701aed,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago argyraea E.Morris,flower present,Plantaginaceae,2005,35.5093106,-111.7685203,https://www.gbif.org/occurrence/3091209923,machine,3091209923,Plantago,K. Christie,,flowers,doi:10.5281/zenodo.17079402,186e2d5f-e8a6-53c5-a1b0-4ba7f141d2d0,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago major L.,flower present,Plantaginaceae,1984,35.4205,-111.7638,https://www.gbif.org/occurrence/3091218671,machine,3091218671,Plantago,J. Ricketson,,flowers,doi:10.5281/zenodo.17079402,69259666-5ea4-5937-908c-f681d36c7dae,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago ovata Forssk.,flower present,Plantaginaceae,1939,32.22167,-110.92583,https://www.gbif.org/occurrence/3091218707,machine,3091218707,Plantago,J.H. Ehlers,,flowers,doi:10.5281/zenodo.17079402,0d6e4b96-e35e-5af3-8608-54397a8bf354,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago ovata Forssk.,flower present,Plantaginaceae,1963,33.024552,-111.75667,https://www.gbif.org/occurrence/3091219067,machine,3091219067,Plantago,R. Prettyman,,flowers,doi:10.5281/zenodo.17079402,a3870b7f-8c7e-51d4-9a78-048065171289,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago ovata Forssk.,flower present,Plantaginaceae,1936,32.05556,-111.94556,https://www.gbif.org/occurrence/3091219076,machine,3091219076,Plantago,R.E. Collom,,flowers,doi:10.5281/zenodo.17079402,e3b8214a-624f-5bb8-b0d8-3ff74d953ccd,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago ovata Forssk.,flower present,Plantaginaceae,1977,35.14778,-114.5675,https://www.gbif.org/occurrence/3091219102,machine,3091219102,Plantago,J. Parrott,10,flowers,doi:10.5281/zenodo.17079402,f34b7fc6-7ea6-5426-b2f5-b701b207bc8a,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago ovata Forssk.,flower present,Plantaginaceae,1965,33.763065,-112.237247,https://www.gbif.org/occurrence/3091219107,machine,3091219107,Plantago,E. Kinne,,flowers,doi:10.5281/zenodo.17079402,7e02228f-1bdc-5c9f-9a1d-27e2d088e55b,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago ovata Forssk.,flower present,Plantaginaceae,1942,33.711581,-112.6225,https://www.gbif.org/occurrence/3091219436,machine,3091219436,Plantago,C.F. Deaver,,flowers,doi:10.5281/zenodo.17079402,f34d183a-5f5c-5d2b-84c1-e7a1192fd9bc,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago argyraea E.Morris,flower present,Plantaginaceae,1995,35.19806,-111.65056,https://www.gbif.org/occurrence/3091219486,machine,3091219486,Plantago,K. Huisinga,10,flowers,doi:10.5281/zenodo.17079402,df2c5684-4858-5c88-b2a3-06011512e01e,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago argyraea E.Morris,flower present,Plantaginaceae,1973,34.5846,-110.7849,https://www.gbif.org/occurrence/3091219490,machine,3091219490,Plantago,R.H. Hevly,10000,flowers,doi:10.5281/zenodo.17079402,5e661f0f-c0a1-5ded-b162-b8f8826d677c,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago ovata Forssk.,flower present,Plantaginaceae,2001,31.984167,-110.561,https://www.gbif.org/occurrence/3091219526,machine,3091219526,Plantago,K. Rainey; K.R. Adams,,flowers,doi:10.5281/zenodo.17079402,1c9cc864-9b06-59a6-baba-b28ec96264c7,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago patagonica Jacq.,flower present,Plantaginaceae,1979,34.573871,-111.854796,https://www.gbif.org/occurrence/3091228562,machine,3091228562,Plantago,R. Kasch,,flowers,doi:10.5281/zenodo.17079402,8726481d-60f8-5bc2-a2fd-f7b8e1089b3c,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago patagonica Jacq.,flower present,Plantaginaceae,1972,34.945124,-112.37556,https://www.gbif.org/occurrence/3091228585,machine,3091228585,Plantago,H. Dingemans,,flowers,doi:10.5281/zenodo.17079402,cdd8d9fe-4549-5681-992e-e448889ba9a4,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago ovata Forssk.,flower present,Plantaginaceae,1993,36.01806,-114.16583,https://www.gbif.org/occurrence/3091237616,machine,3091237616,Plantago,"A.M. Phillips, III; B.G. Phillips",10,flowers,doi:10.5281/zenodo.17079402,29b6a885-59db-5905-90c1-2d33c298b9ec,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago patagonica Jacq.,flower present,Plantaginaceae,2008,35.20167,-111.51622,https://www.gbif.org/occurrence/3091238278,machine,3091238278,Plantago,C.D. Schelz,,flowers,doi:10.5281/zenodo.17079402,80bab7df-0c54-516d-88e9-15925fb7b100,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago patagonica Jacq.,flower present,Plantaginaceae,2005,34.8468567,-111.8639966,https://www.gbif.org/occurrence/3091241058,machine,3091241058,Plantago,J. Springer,,flowers,doi:10.5281/zenodo.17079402,a7b9a31d-00e5-5a9d-8190-b1b79b5ef20b,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago ovata Forssk.,flower present,Plantaginaceae,1979,32.08611,-110.71139,https://www.gbif.org/occurrence/3091256435,machine,3091256435,Plantago,C.E. Jenkins,,flowers,doi:10.5281/zenodo.17079402,bc1b7eeb-ed9d-5ad6-a021-fbd2d107b7d3,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago ovata Forssk.,flower present,Plantaginaceae,1993,33.492589,-111.720886,https://www.gbif.org/occurrence/3091256903,machine,3091256903,Plantago,C.M. Christy,,flowers,doi:10.5281/zenodo.17079402,931d04bb-660f-5340-a2ae-5fc13ae8dd93,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago maritima Willk.,flower present,Plantaginaceae,1999,57.82,-152.33,https://www.gbif.org/occurrence/3091265426,machine,3091265426,Plantago,L.A. McGill,,flowers,doi:10.5281/zenodo.17079402,634e5836-dfc4-5134-8040-5077f9c9f14f,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago virginica L.,flower present,Plantaginaceae,1975,32.516667,-92.75,https://www.gbif.org/occurrence/3091266718,machine,3091266718,Plantago,Charles Calogero,,flowers,doi:10.5281/zenodo.17079402,18adb334-060d-5653-ac6d-a56945df2a7c,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago argyraea E.Morris,flower present,Plantaginaceae,2005,34.5663072,-111.3318811,https://www.gbif.org/occurrence/3091269972,machine,3091269972,Plantago,G. Rink; M. Murov,,flowers,doi:10.5281/zenodo.17079402,19c70410-a46a-59a4-98b6-4f3f36f906c9,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago helleri Small,flower present,Plantaginaceae,1946,30.322133,-97.773555,https://www.gbif.org/occurrence/3340046874,machine,3340046874,Plantago,Barton H. Warnock,373,flowers,doi:10.5281/zenodo.17079402,670c2c87-fdf1-53ab-91c8-e1e54588af42,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago lanceolata L.,flower present,Plantaginaceae,1985,31.852187,-106.456317,https://www.gbif.org/occurrence/3340046914,machine,3340046914,Plantago,Lynette Binka,81,flowers,doi:10.5281/zenodo.17079402,75016ab3-34c4-5c85-adac-6f1dbd29f172,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago rhodosperma Decne.,flower present,Plantaginaceae,1941,29.17897,-102.997567,https://www.gbif.org/occurrence/3340047710,machine,3340047710,Plantago,Omer E. Sperry,835,flowers,doi:10.5281/zenodo.17079402,fb27e8c1-7c63-5d11-bb05-182f9bccb3ef,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago rhodosperma Decne.,flower present,Plantaginaceae,1942,30.314941,-103.661012,https://www.gbif.org/occurrence/3340047715,machine,3340047715,Plantago,O.E. Sperry,3583,flowers,doi:10.5281/zenodo.17079402,f8e69447-2f67-592a-863f-ec382995c19d,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago virginica L.,flower present,Plantaginaceae,1959,30.275746,-95.322968,https://www.gbif.org/occurrence/3340047738,machine,3340047738,Plantago,Frank W. Gould,2063,flowers,doi:10.5281/zenodo.17079402,6f9739db-8455-5f50-aaeb-f89d6af9322c,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago wrightiana Decne.,flower present,Plantaginaceae,1950,33.181058,-102.465062,https://www.gbif.org/occurrence/3340047756,machine,3340047756,Plantago,Hargrove & Tilton,3806,flowers,doi:10.5281/zenodo.17079402,4bef51f2-0462-512a-bc1f-c6b00ed7df71,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago wrightiana Decne.,flower present,Plantaginaceae,1966,32.113767,-102.45937,https://www.gbif.org/occurrence/3340047765,machine,3340047765,Plantago,Turner Collins,6524,flowers,doi:10.5281/zenodo.17079402,4a082db1-e34a-53df-813c-9ea892161fe8,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago purshii Roem. & Schult.,flower present,Plantaginaceae,1966,35.164441,-103.042168,https://www.gbif.org/occurrence/3340047788,machine,3340047788,Plantago,Floyd R. Waller,3398,flowers,doi:10.5281/zenodo.17079402,70548688-a4bd-578a-8317-5b8f1e579e56,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago purshii Roem. & Schult.,flower present,Plantaginaceae,1966,34.426448,-100.239178,https://www.gbif.org/occurrence/3340047792,machine,3340047792,Plantago,Gayle Whitten,1579,flowers,doi:10.5281/zenodo.17079402,9379f0cc-fd74-581a-9e0a-f20bcca56098,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
herbarium-GBIF,Plantago purshii var. spinulosa (Decne. ex DC.) Shinners,flower present,Plantaginaceae,1969,33.583976,-99.757479,https://www.gbif.org/occurrence/3340047797,machine,3340047797,Plantago,Wanda I. Smith,1088,flowers,doi:10.5281/zenodo.17079402,1eb811ba-e24a-5a20-a2fc-11cb7d069c91,"flower present,reproductive shoot system present,reproductive structure present,plant structure present"
